"","MET","TIME","SAMPLE","QT"
"1","aspartic acid",0.5,1,0.771
"2","aspartic acid",0.5,2,0.761
"3","aspartic acid",0.5,3,0.701
"4","aspartic acid",1,1,0.686
"5","aspartic acid",1,2,0.767
"6","aspartic acid",1,3,0.775
"7","aspartic acid",2,1,0.728
"8","aspartic acid",2,2,0.778
"9","aspartic acid",2,3,0.702
"10","aspartic acid",4,1,1.1
"11","aspartic acid",4,2,1.33
"12","aspartic acid",4,3,1.27
"13","aspartic acid",12,1,0.695
"14","aspartic acid",12,2,0.72
"15","aspartic acid",12,3,0.715
"16","aspartic acid",24,1,0.535
"17","aspartic acid",24,2,0.473
"18","aspartic acid",24,3,0.518
"19","aspartic acid",48,1,0.664
"20","aspartic acid",48,2,0.629
"21","aspartic acid",48,3,0.542
"22","aspartic acid",72,1,0.271
"23","aspartic acid",72,2,0.346
"24","aspartic acid",72,3,0.274
"25","asparagine",0.5,1,0.871
"26","asparagine",0.5,2,0.969
"27","asparagine",0.5,3,0.934
"28","asparagine",1,1,0.953
"29","asparagine",1,2,0.968
"30","asparagine",1,3,0.965
"31","asparagine",2,1,0.966
"32","asparagine",2,2,1.16
"33","asparagine",2,3,1.28
"34","asparagine",4,1,0.961
"35","asparagine",4,2,0.867
"36","asparagine",4,3,0.864
"37","asparagine",12,1,0.769
"38","asparagine",12,2,0.599
"39","asparagine",12,3,0.714
"40","asparagine",24,1,0.987
"41","asparagine",24,2,1.02
"42","asparagine",24,3,0.985
"43","asparagine",48,1,0.845
"44","asparagine",48,2,0.895
"45","asparagine",48,3,0.841
"46","asparagine",72,1,0.458
"47","asparagine",72,2,0.476
"48","asparagine",72,3,0.439
"49","serine ",0.5,1,0.776
"50","serine ",0.5,2,0.803
"51","serine ",0.5,3,0.782
"52","serine ",1,1,0.807
"53","serine ",1,2,0.875
"54","serine ",1,3,0.906
"55","serine ",2,1,1
"56","serine ",2,2,1.03
"57","serine ",2,3,0.832
"58","serine ",4,1,0.905
"59","serine ",4,2,0.894
"60","serine ",4,3,0.903
"61","serine ",12,1,0.808
"62","serine ",12,2,0.815
"63","serine ",12,3,0.812
"64","serine ",24,1,0.827
"65","serine ",24,2,0.841
"66","serine ",24,3,0.844
"67","serine ",48,1,0.909
"68","serine ",48,2,0.861
"69","serine ",48,3,0.903
"70","serine ",72,1,0.8
"71","serine ",72,2,0.8
"72","serine ",72,3,0.8
"73","glycine",0.5,1,0.898
"74","glycine",0.5,2,0.914
"75","glycine",0.5,3,0.896
"76","glycine",1,1,0.829
"77","glycine",1,2,0.846
"78","glycine",1,3,0.82
"79","glycine",2,1,0.972
"80","glycine",2,2,0.945
"81","glycine",2,3,0.956
"82","glycine",4,1,0.788
"83","glycine",4,2,0.866
"84","glycine",4,3,0.838
"85","glycine",12,1,0.778
"86","glycine",12,2,0.787
"87","glycine",12,3,0.787
"88","glycine",24,1,0.828
"89","glycine",24,2,0.816
"90","glycine",24,3,0.836
"91","glycine",48,1,1.04
"92","glycine",48,2,0.934
"93","glycine",48,3,0.968
"94","glycine",72,1,0.853
"95","glycine",72,2,0.862
"96","glycine",72,3,0.873
"97","alanine",0.5,1,0.966
"98","alanine",0.5,2,0.944
"99","alanine",0.5,3,0.863
"100","alanine",1,1,0.715
"101","alanine",1,2,0.94
"102","alanine",1,3,0.873
"103","alanine",2,1,0.887
"104","alanine",2,2,0.827
"105","alanine",2,3,0.863
"106","alanine",4,1,0.868
"107","alanine",4,2,0.938
"108","alanine",4,3,0.885
"109","alanine",12,1,0.71
"110","alanine",12,2,0.71
"111","alanine",12,3,0.71
"112","alanine",24,1,1.34
"113","alanine",24,2,1.35
"114","alanine",24,3,1.21
"115","alanine",48,1,1.33
"116","alanine",48,2,1.33
"117","alanine",48,3,1.26
"118","alanine",72,1,1.45
"119","alanine",72,2,1.35
"120","alanine",72,3,1.36
"121","glutamic acid",0.5,1,0.478
"122","glutamic acid",0.5,2,0.462
"123","glutamic acid",0.5,3,0.481
"124","glutamic acid",1,1,0.565
"125","glutamic acid",1,2,0.575
"126","glutamic acid",1,3,0.569
"127","glutamic acid",2,1,0.47
"128","glutamic acid",2,2,0.484
"129","glutamic acid",2,3,0.479
"130","glutamic acid",4,1,0.674
"131","glutamic acid",4,2,0.729
"132","glutamic acid",4,3,0.683
"133","glutamic acid",12,1,0.53
"134","glutamic acid",12,2,0.477
"135","glutamic acid",12,3,0.505
"136","glutamic acid",24,1,0.606
"137","glutamic acid",24,2,0.79
"138","glutamic acid",24,3,0.734
"139","glutamic acid",48,1,0.49
"140","glutamic acid",48,2,0.556
"141","glutamic acid",48,3,0.567
"142","glutamic acid",72,1,0.561
"143","glutamic acid",72,2,0.635
"144","glutamic acid",72,3,0.646
"145","glutamine",0.5,1,0.47
"146","glutamine",0.5,2,0.479
"147","glutamine",0.5,3,0.4
"148","glutamine",1,1,0.534
"149","glutamine",1,2,0.473
"150","glutamine",1,3,0.748
"151","glutamine",2,1,0.625
"152","glutamine",2,2,0.653
"153","glutamine",2,3,0.631
"154","glutamine",4,1,0.733
"155","glutamine",4,2,0.77
"156","glutamine",4,3,0.733
"157","glutamine",12,1,0.738
"158","glutamine",12,2,0.743
"159","glutamine",12,3,0.785
"160","glutamine",24,1,0.703
"161","glutamine",24,2,0.703
"162","glutamine",24,3,0.674
"163","glutamine",48,1,0.624
"164","glutamine",48,2,0.646
"165","glutamine",48,3,0.552
"166","glutamine",72,1,0.307
"167","glutamine",72,2,0.396
"168","glutamine",72,3,0.348
"169","threonine",0.5,1,0.931
"170","threonine",0.5,2,0.858
"171","threonine",0.5,3,0.874
"172","threonine",1,1,1.01
"173","threonine",1,2,1.08
"174","threonine",1,3,0.981
"175","threonine",2,1,1.09
"176","threonine",2,2,0.994
"177","threonine",2,3,1.01
"178","threonine",4,1,0.976
"179","threonine",4,2,0.981
"180","threonine",4,3,0.991
"181","threonine",12,1,0.856
"182","threonine",12,2,0.967
"183","threonine",12,3,0.904
"184","threonine",24,1,1.15
"185","threonine",24,2,1.19
"186","threonine",24,3,1.18
"187","threonine",48,1,1.04
"188","threonine",48,2,1.06
"189","threonine",48,3,0.901
"190","threonine",72,1,0.534
"191","threonine",72,2,0.559
"192","threonine",72,3,0.602
"193","proline",0.5,1,0.951
"194","proline",0.5,2,0.968
"195","proline",0.5,3,0.981
"196","proline",1,1,1.04
"197","proline",1,2,1.04
"198","proline",1,3,1.06
"199","proline",2,1,0.916
"200","proline",2,2,0.904
"201","proline",2,3,0.901
"202","proline",4,1,0.797
"203","proline",4,2,0.783
"204","proline",4,3,0.786
"205","proline",12,1,0.917
"206","proline",12,2,0.917
"207","proline",12,3,0.986
"208","proline",24,1,1.08
"209","proline",24,2,1.09
"210","proline",24,3,1.09
"211","proline",48,1,0.938
"212","proline",48,2,0.985
"213","proline",48,3,1
"214","proline",72,1,0.589
"215","proline",72,2,0.632
"216","proline",72,3,0.588
"217","valine",0.5,1,0.811
"218","valine",0.5,2,0.823
"219","valine",0.5,3,0.806
"220","valine",1,1,0.901
"221","valine",1,2,1.03
"222","valine",1,3,0.929
"223","valine",2,1,1.09
"224","valine",2,2,0.965
"225","valine",2,3,0.961
"226","valine",4,1,0.968
"227","valine",4,2,0.997
"228","valine",4,3,0.999
"229","valine",12,1,0.863
"230","valine",12,2,0.841
"231","valine",12,3,0.848
"232","valine",24,1,0.697
"233","valine",24,2,0.691
"234","valine",24,3,0.706
"235","valine",48,1,0.706
"236","valine",48,2,0.713
"237","valine",48,3,0.697
"238","valine",72,1,0.367
"239","valine",72,2,0.418
"240","valine",72,3,0.431
"241","tryptophan",0.5,1,1.33
"242","tryptophan",0.5,2,1.36
"243","tryptophan",0.5,3,1.26
"244","tryptophan",1,1,2.14
"245","tryptophan",1,2,2.24
"246","tryptophan",1,3,2.22
"247","tryptophan",2,1,2.26
"248","tryptophan",2,2,2.22
"249","tryptophan",2,3,2.22
"250","tryptophan",4,1,1.13
"251","tryptophan",4,2,1.13
"252","tryptophan",4,3,1.11
"253","tryptophan",12,1,1.02
"254","tryptophan",12,2,0.985
"255","tryptophan",12,3,0.985
"256","tryptophan",24,1,0.391
"257","tryptophan",24,2,0.392
"258","tryptophan",24,3,0.389
"259","tryptophan",48,1,0.406
"260","tryptophan",48,2,0.423
"261","tryptophan",48,3,0.43
"262","tryptophan",72,1,0.272
"263","tryptophan",72,2,0.219
"264","tryptophan",72,3,0.206
"265","isoleucine",0.5,1,1.03
"266","isoleucine",0.5,2,1.03
"267","isoleucine",0.5,3,1.09
"268","isoleucine",1,1,1.22
"269","isoleucine",1,2,1.14
"270","isoleucine",1,3,1.21
"271","isoleucine",2,1,1.34
"272","isoleucine",2,2,1.31
"273","isoleucine",2,3,1.22
"274","isoleucine",4,1,1.05
"275","isoleucine",4,2,1.12
"276","isoleucine",4,3,1.11
"277","isoleucine",12,1,0.909
"278","isoleucine",12,2,0.906
"279","isoleucine",12,3,0.901
"280","isoleucine",24,1,0.861
"281","isoleucine",24,2,0.971
"282","isoleucine",24,3,0.925
"283","isoleucine",48,1,1.01
"284","isoleucine",48,2,1.02
"285","isoleucine",48,3,1.07
"286","isoleucine",72,1,0.206
"287","isoleucine",72,2,0.167
"288","isoleucine",72,3,0.161
"289","leucine",0.5,1,1.1
"290","leucine",0.5,2,1.12
"291","leucine",0.5,3,1.11
"292","leucine",1,1,1.11
"293","leucine",1,2,1.15
"294","leucine",1,3,1.14
"295","leucine",2,1,1.27
"296","leucine",2,2,1.46
"297","leucine",2,3,1.25
"298","leucine",4,1,1.2
"299","leucine",4,2,1.2
"300","leucine",4,3,1.2
"301","leucine",12,1,0.914
"302","leucine",12,2,0.857
"303","leucine",12,3,0.906
"304","leucine",24,1,0.572
"305","leucine",24,2,0.592
"306","leucine",24,3,0.595
"307","leucine",48,1,0.699
"308","leucine",48,2,0.715
"309","leucine",48,3,0.745
"310","leucine",72,1,0.25
"311","leucine",72,2,0.232
"312","leucine",72,3,0.207
"313","phenylalanine",0.5,1,1.52
"314","phenylalanine",0.5,2,1.48
"315","phenylalanine",0.5,3,1.49
"316","phenylalanine",1,1,1.84
"317","phenylalanine",1,2,1.94
"318","phenylalanine",1,3,1.77
"319","phenylalanine",2,1,1.59
"320","phenylalanine",2,2,1.61
"321","phenylalanine",2,3,1.61
"322","phenylalanine",4,1,1.43
"323","phenylalanine",4,2,1.31
"324","phenylalanine",4,3,1.3
"325","phenylalanine",12,1,0.72
"326","phenylalanine",12,2,0.706
"327","phenylalanine",12,3,0.623
"328","phenylalanine",24,1,0.29
"329","phenylalanine",24,2,0.29
"330","phenylalanine",24,3,0.29
"331","phenylalanine",48,1,0.526
"332","phenylalanine",48,2,0.508
"333","phenylalanine",48,3,0.511
"334","phenylalanine",72,1,0.706
"335","phenylalanine",72,2,0.693
"336","phenylalanine",72,3,0.593
"337","pyruvate",0.5,1,1.16
"338","pyruvate",0.5,2,1.21
"339","pyruvate",0.5,3,1.17
"340","pyruvate",1,1,1.2
"341","pyruvate",1,2,1.33
"342","pyruvate",1,3,1.33
"343","pyruvate",2,1,0.86
"344","pyruvate",2,2,0.86
"345","pyruvate",2,3,0.86
"346","pyruvate",4,1,0.747
"347","pyruvate",4,2,0.769
"348","pyruvate",4,3,0.4
"349","pyruvate",12,1,0.436
"350","pyruvate",12,2,0.52
"351","pyruvate",12,3,0.488
"352","pyruvate",24,1,1.82
"353","pyruvate",24,2,1.89
"354","pyruvate",24,3,1.97
"355","pyruvate",48,1,3.58
"356","pyruvate",48,2,4.01
"357","pyruvate",48,3,3.41
"358","pyruvate",72,1,3.6
"359","pyruvate",72,2,3.67
"360","pyruvate",72,3,3.58
"361","lactate",0.5,1,0.87
"362","lactate",0.5,2,0.87
"363","lactate",0.5,3,0.87
"364","lactate",1,1,1.76
"365","lactate",1,2,1.07
"366","lactate",1,3,1.38
"367","lactate",2,1,1
"368","lactate",2,2,0.97
"369","lactate",2,3,0.971
"370","lactate",4,1,1
"371","lactate",4,2,0.253
"372","lactate",4,3,0.962
"373","lactate",12,1,1.41
"374","lactate",12,2,0.706
"375","lactate",12,3,1.02
"376","lactate",24,1,6.44
"377","lactate",24,2,5.89
"378","lactate",24,3,7.86
"379","lactate",48,1,4.43
"380","lactate",48,2,4.17
"381","lactate",48,3,2.7
"382","lactate",72,1,12.4
"383","lactate",72,2,12.5
"384","lactate",72,3,12.3
"385","phosphorate",0.5,1,1.3
"386","phosphorate",0.5,2,1.28
"387","phosphorate",0.5,3,1.31
"388","phosphorate",1,1,0.878
"389","phosphorate",1,2,0.919
"390","phosphorate",1,3,0.96
"391","phosphorate",2,1,0.946
"392","phosphorate",2,2,0.946
"393","phosphorate",2,3,0.952
"394","phosphorate",4,1,1.5
"395","phosphorate",4,2,1.25
"396","phosphorate",4,3,1.14
"397","phosphorate",12,1,1.06
"398","phosphorate",12,2,1.23
"399","phosphorate",12,3,1.14
"400","phosphorate",24,1,1.9
"401","phosphorate",24,2,1.97
"402","phosphorate",24,3,1.88
"403","phosphorate",48,1,0.772
"404","phosphorate",48,2,0.823
"405","phosphorate",48,3,0.871
"406","phosphorate",72,1,0.55
"407","phosphorate",72,2,0.55
"408","phosphorate",72,3,0.55
"409","n-butylamine",0.5,1,0.998
"410","n-butylamine",0.5,2,1.37
"411","n-butylamine",0.5,3,1.07
"412","n-butylamine",1,1,1
"413","n-butylamine",1,2,1.03
"414","n-butylamine",1,3,1.12
"415","n-butylamine",2,1,1.05
"416","n-butylamine",2,2,1.07
"417","n-butylamine",2,3,1.07
"418","n-butylamine",4,1,1.06
"419","n-butylamine",4,2,1.19
"420","n-butylamine",4,3,0.894
"421","n-butylamine",12,1,1.19
"422","n-butylamine",12,2,0.935
"423","n-butylamine",12,3,1.17
"424","n-butylamine",24,1,1.14
"425","n-butylamine",24,2,1.07
"426","n-butylamine",24,3,1.02
"427","n-butylamine",48,1,0.932
"428","n-butylamine",48,2,0.932
"429","n-butylamine",48,3,0.983
"430","n-butylamine",72,1,1.26
"431","n-butylamine",72,2,0.97
"432","n-butylamine",72,3,1.05
"433","ethanolamine",0.5,1,1.31
"434","ethanolamine",0.5,2,1.29
"435","ethanolamine",0.5,3,1.37
"436","ethanolamine",1,1,2.12
"437","ethanolamine",1,2,0.52
"438","ethanolamine",1,3,0.901
"439","ethanolamine",2,1,1.17
"440","ethanolamine",2,2,1.19
"441","ethanolamine",2,3,1.16
"442","ethanolamine",4,1,1.29
"443","ethanolamine",4,2,1.39
"444","ethanolamine",4,3,1.14
"445","ethanolamine",12,1,0.528
"446","ethanolamine",12,2,0.526
"447","ethanolamine",12,3,0.518
"448","ethanolamine",24,1,0.569
"449","ethanolamine",24,2,0.627
"450","ethanolamine",24,3,0.636
"451","ethanolamine",48,1,0.337
"452","ethanolamine",48,2,0.308
"453","ethanolamine",48,3,0.329
"454","ethanolamine",72,1,0.26
"455","ethanolamine",72,2,0.277
"456","ethanolamine",72,3,0.254
"457","glycerol",0.5,1,1.61
"458","glycerol",0.5,2,1.67
"459","glycerol",0.5,3,1.53
"460","glycerol",1,1,0.479
"461","glycerol",1,2,0.714
"462","glycerol",1,3,1.09
"463","glycerol",2,1,0.665
"464","glycerol",2,2,0.7
"465","glycerol",2,3,0.685
"466","glycerol",4,1,1.91
"467","glycerol",4,2,1.87
"468","glycerol",4,3,1.93
"469","glycerol",12,1,1.54
"470","glycerol",12,2,1.42
"471","glycerol",12,3,1.3
"472","glycerol",24,1,3.54
"473","glycerol",24,2,2.98
"474","glycerol",24,3,2.77
"475","glycerol",48,1,0.85
"476","glycerol",48,2,0.88
"477","glycerol",48,3,0.87
"478","glycerol",72,1,1.39
"479","glycerol",72,2,1.4
"480","glycerol",72,3,1.44
"481","succinate",0.5,1,0.746
"482","succinate",0.5,2,0.743
"483","succinate",0.5,3,0.768
"484","succinate",1,1,1.07
"485","succinate",1,2,1.21
"486","succinate",1,3,1.08
"487","succinate",2,1,0.77
"488","succinate",2,2,0.854
"489","succinate",2,3,0.785
"490","succinate",4,1,0.593
"491","succinate",4,2,0.549
"492","succinate",4,3,0.528
"493","succinate",12,1,0.294
"494","succinate",12,2,0.44
"495","succinate",12,3,0.376
"496","succinate",24,1,0.21
"497","succinate",24,2,0.21
"498","succinate",24,3,0.21
"499","succinate",48,1,0.783
"500","succinate",48,2,0.957
"501","succinate",48,3,0.857
"502","succinate",72,1,1.63
"503","succinate",72,2,1.6
"504","succinate",72,3,1.63
"505","glycerate",0.5,1,1.15
"506","glycerate",0.5,2,1.16
"507","glycerate",0.5,3,1.24
"508","glycerate",1,1,0.921
"509","glycerate",1,2,0.644
"510","glycerate",1,3,0.746
"511","glycerate",2,1,0.58
"512","glycerate",2,2,0.58
"513","glycerate",2,3,0.58
"514","glycerate",4,1,0.977
"515","glycerate",4,2,0.841
